POLY_NM,MEMBER_NO
더불어민주당,2100000000270
국민의힘,2100000000271
국민의힘,2100000000272
더불어민주당,2100000000273
더불어민주당,2100000000274
국민의힘,2100000000275
국민의힘,2100000000276
더불어민주당,2100000000277
국민의힘,2100000000278
국민의힘,2100000000279
무소속,2100000000280
국민의힘,2100000000281
국민의힘,2100000000282
국민의힘,2100000000283
더불어민주당,2100000000284
더불어민주당,2100000000285
더불어민주당,2100000000286
더불어민주당,2100000000287
국민의힘,2100000000288
더불어민주당,2100000000289
더불어민주당,2100000000290
국민의힘,2100000000291
국민의힘,2100000000292
더불어민주당,2100000000293
더불어민주당,2100000000294
더불어민주당,2100000000295
더불어민주당,2100000000296
무소속,2100000000298
더불어민주당,2100000000299
더불어민주당,2100000000300
더불어민주당,2100000000301
국민의힘,2100000000302
국민의힘,2100000000303
국민의힘,2100000000304
국민의힘,2100000000305
국민의힘,2100000000306
국민의힘,2100000000307
국민의힘,2100000000308
더불어민주당,2100000000309
국민의힘,2100000000310
국민의힘,2100000000311
국민의힘,2100000000312
국민의힘,2100000000313
더불어민주당,2100000000314
국민의힘,2100000000315
진보당,2100000000316
더불어민주당,2100000000317
국민의힘,2100000000318
