,HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD,VOTE_DATE,BILL_NO,BILL_NAME,BILL_ID,LAW_TITLE,CURR_COMMITTEE,RESULT_VOTE_MOD,DEPT_CD,CURR_COMMITTEE_ID,DISP_ORDER,BILL_URL,BILL_NAME_URL,SESSION_CD,CURRENTS_CD,AGE,MONA_CD
0,이탄희,李誕熙,더불어민주당,경기 용인시정,2100000000218,101182,080184,20231208 163555,2125820,전북특별자치도 설치 등에 관한 특별법 전부개정법률안(대안),PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,전북특별자치도설치등에관한특별법,행정안전위원회,불참,9771190,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,410,14,21,9S151177
1,김홍걸,金弘傑,더불어민주당,비례대표,2100000000073,101182,240001,20231208 163555,2125820,전북특별자치도 설치 등에 관한 특별법 전부개정법률안(대안),PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,전북특별자치도설치등에관한특별법,행정안전위원회,찬성,9771270,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,410,14,21,PO64874I
2,황운하,黃雲夏,더불어민주당,대전 중구,2100000000299,101182,060003,20231208 163555,2125820,전북특별자치도 설치 등에 관한 특별법 전부개정법률안(대안),PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,전북특별자치도설치등에관한특별법,행정안전위원회,찬성,9771161,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,410,14,21,0YT3774N
3,박영순,朴英淳,더불어민주당,대전 대덕구,2100000000099,101182,060011,20231208 163555,2125820,전북특별자치도 설치 등에 관한 특별법 전부개정법률안(대안),PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,전북특별자치도설치등에관한특별법,행정안전위원회,불참,9771162,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,410,14,21,40S1959J
4,박성준,朴省俊,더불어민주당,서울 중구성동구을,2100000000096,101182,010097,20231208 163555,2125820,전북특별자치도 설치 등에 관한 특별법 전부개정법률안(대안),PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,전북특별자치도설치등에관한특별법,행정안전위원회,찬성,9771107,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,410,14,21,IL74008M
5,이성만,李成萬,무소속,인천 부평구갑,2100000000195,101030,040013,20231208 163555,2125820,전북특별자치도 설치 등에 관한 특별법 전부개정법률안(대안),PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,전북특별자치도설치등에관한특별법,행정안전위원회,불참,9771151,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,410,14,21,8KF7223D
6,진성준,陳聲準,더불어민주당,서울 강서구을,2100000000267,101182,010047,20231208 163555,2125820,전북특별자치도 설치 등에 관한 특별법 전부개정법률안(대안),PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,전북특별자치도설치등에관한특별법,행정안전위원회,찬성,9771117,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,410,14,21,3C23171A
7,권성동,權性東,국민의힘,강원 강릉시,2100000000017,101210,100005,20231208 163555,2125820,전북특별자치도 설치 등에 관한 특별법 전부개정법률안(대안),PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,전북특별자치도설치등에관한특별법,행정안전위원회,찬성,9770679,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,410,14,21,GDG1847Z
8,김승남,金承南,더불어민주당,전남 고흥군보성군장흥군강진군,2100000000046,101182,140112,20231208 163555,2125820,전북특별자치도 설치 등에 관한 특별법 전부개정법률안(대안),PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,전북특별자치도설치등에관한특별법,행정안전위원회,불참,9771220,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,410,14,21,P2N4585G
9,김희국,金熙國,국민의힘,경북 군위군의성군청송군영덕군,2100000000076,101210,210036,20231208 163555,2125820,전북특별자치도 설치 등에 관한 특별법 전부개정법률안(대안),PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,전북특별자치도설치등에관한특별법,행정안전위원회,불참,9771228,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2O3V1O1M2M2V2Y1R4C7W1S7Q2V7R1,410,14,21,6AR6743G
