,HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD,VOTE_DATE,BILL_NO,BILL_NAME,BILL_ID,LAW_TITLE,CURR_COMMITTEE,RESULT_VOTE_MOD,DEPT_CD,CURR_COMMITTEE_ID,DISP_ORDER,BILL_URL,BILL_NAME_URL,SESSION_CD,CURRENTS_CD,AGE,MONA_CD
0,이종성,李鍾成,국민의힘,비례대표,2100000000214,101210,240001,20240109 145420,2126223,경찰관 직무집행법 일부개정법률안(대안),PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,경찰관 직무집행법,행정안전위원회,찬성,9771242,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,411,4,21,FDC3144T
1,이개호,李介昊,더불어민주당,전남 담양군함평군영광군장성군,2100000000183,101182,140108,20240109 145420,2126223,경찰관 직무집행법 일부개정법률안(대안),PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,경찰관 직무집행법,행정안전위원회,찬성,9770905,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,411,4,21,I7R13867
2,송기헌,宋基憲,더불어민주당,강원 원주시을,2100000000129,101182,100019,20240109 145420,2126223,경찰관 직무집행법 일부개정법률안(대안),PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,경찰관 직무집행법,행정안전위원회,찬성,9771001,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,411,4,21,SQ36001H
3,정춘숙,鄭春淑,더불어민주당,경기 용인시병,2100000000249,101182,080175,20240109 145420,2126223,경찰관 직무집행법 일부개정법률안(대안),PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,경찰관 직무집행법,행정안전위원회,불참,9771068,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,411,4,21,MD083627
4,이만희,李晩熙,국민의힘,경북 영천시청도군,2100000000189,101210,150073,20240109 145420,2126223,경찰관 직무집행법 일부개정법률안(대안),PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,경찰관 직무집행법,행정안전위원회,찬성,9771028,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,411,4,21,OSV9142K
5,기동민,奇東旻,더불어민주당,서울 성북구을,2100000000022,101182,010020,20240109 145420,2126223,경찰관 직무집행법 일부개정법률안(대안),PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,경찰관 직무집행법,행정안전위원회,불참,9770927,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,411,4,21,B7R2742J
6,윤주경,尹柱卿,국민의힘,비례대표,2100000000176,101210,240001,20240109 145420,2126223,경찰관 직무집행법 일부개정법률안(대안),PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,경찰관 직무집행법,행정안전위원회,찬성,9771239,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,411,4,21,ZDP5704Q
7,김정재,金汀才,국민의힘,경북 포항시북구,2100000000061,101210,150001,20240109 145420,2126223,경찰관 직무집행법 일부개정법률안(대안),PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,경찰관 직무집행법,행정안전위원회,찬성,9771023,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,411,4,21,E1J8836Y
8,송갑석,宋甲錫,더불어민주당,광주 서구갑,2100000000128,101182,050003,20240109 145420,2126223,경찰관 직무집행법 일부개정법률안(대안),PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,경찰관 직무집행법,행정안전위원회,찬성,9771093,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,411,4,21,RD42006Y
9,송언석,宋彦錫,국민의힘,경북 김천시,2100000000131,101210,150006,20240109 145420,2126223,경찰관 직무집행법 일부개정법률안(대안),PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,경찰관 직무집행법,행정안전위원회,찬성,9771094,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2G3V1Q1H2K1G2T2R3S6R1E7Z3W1O9,411,4,21,6EN68926
