,HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD,VOTE_DATE,BILL_NO,BILL_NAME,BILL_ID,LAW_TITLE,CURR_COMMITTEE,RESULT_VOTE_MOD,DEPT_CD,CURR_COMMITTEE_ID,DISP_ORDER,BILL_URL,BILL_NAME_URL,SESSION_CD,CURRENTS_CD,AGE,MONA_CD
0,송석준,宋錫俊,국민의힘,경기 이천시,2100000000130,101210,080171,20230323 152233,2120796,아동·청소년의 성보호에 관한 법률 일부개정법률안(대안),PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,아동·청소년의 성보호에 관한 법률,여성가족위원회,찬성,9770996,9700342,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,404,1,21,CNW5754J
1,김성원,金成願,국민의힘,경기 동두천시연천군,2100000000042,101210,080177,20230323 152233,2120796,아동·청소년의 성보호에 관한 법률 일부개정법률안(대안),PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,아동·청소년의 성보호에 관한 법률,여성가족위원회,찬성,9770985,9700342,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,404,1,21,9D939735
2,이종성,李鍾成,국민의힘,비례대표,2100000000214,101210,240001,20230323 152233,2120796,아동·청소년의 성보호에 관한 법률 일부개정법률안(대안),PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,아동·청소년의 성보호에 관한 법률,여성가족위원회,찬성,9771242,9700342,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,404,1,21,FDC3144T
3,송기헌,宋基憲,더불어민주당,강원 원주시을,2100000000129,101182,100019,20230323 152233,2120796,아동·청소년의 성보호에 관한 법률 일부개정법률안(대안),PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,아동·청소년의 성보호에 관한 법률,여성가족위원회,불참,9771001,9700342,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,404,1,21,SQ36001H
4,박재호,朴在昊,더불어민주당,부산 남구을,2100000000103,101182,020012,20230323 152233,2120796,아동·청소년의 성보호에 관한 법률 일부개정법률안(대안),PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,아동·청소년의 성보호에 관한 법률,여성가족위원회,찬성,9770950,9700342,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,404,1,21,QUO78839
5,이만희,李晩熙,국민의힘,경북 영천시청도군,2100000000189,101210,150073,20230323 152233,2120796,아동·청소년의 성보호에 관한 법률 일부개정법률안(대안),PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,아동·청소년의 성보호에 관한 법률,여성가족위원회,찬성,9771028,9700342,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,404,1,21,OSV9142K
6,맹성규,孟聖奎,더불어민주당,인천 남동구갑,2100000000082,101182,040010,20230323 152233,2120796,아동·청소년의 성보호에 관한 법률 일부개정법률안(대안),PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,아동·청소년의 성보호에 관한 법률,여성가족위원회,찬성,9771091,9700342,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,404,1,21,FJK3396E
7,윤주경,尹柱卿,국민의힘,비례대표,2100000000176,101210,240001,20230323 152233,2120796,아동·청소년의 성보호에 관한 법률 일부개정법률안(대안),PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,아동·청소년의 성보호에 관한 법률,여성가족위원회,찬성,9771239,9700342,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,404,1,21,ZDP5704Q
8,김학용,金學容,국민의힘,경기 안성시,2100000000305,101210,080071,20230323 152233,2120796,아동·청소년의 성보호에 관한 법률 일부개정법률안(대안),PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,아동·청소년의 성보호에 관한 법률,여성가족위원회,찬성,9771289,9700342,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,404,1,21,F5U2979W
9,조명희,曺明姬,국민의힘,비례대표,2100000000254,101210,240001,20230323 152233,2120796,아동·청소년의 성보호에 관한 법률 일부개정법률안(대안),PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,아동·청소년의 성보호에 관한 법률,여성가족위원회,찬성,9771247,9700342,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2E3E0V2Y1Z5O1B9V3G9N1C6I8T3T0,404,1,21,S741317G
