,HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD,VOTE_DATE,BILL_NO,BILL_NAME,BILL_ID,LAW_TITLE,CURR_COMMITTEE,RESULT_VOTE_MOD,DEPT_CD,CURR_COMMITTEE_ID,DISP_ORDER,BILL_URL,BILL_NAME_URL,SESSION_CD,CURRENTS_CD,AGE,MONA_CD
10,강민정,姜旼姃,더불어민주당,비례대표,2100000000005,101182,240001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771283,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,P2N50879
11,최형두,崔炯斗,국민의힘,경남 창원시마산합포구,2100000000276,101210,160123,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,기권,9771231,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,A0P4646G
12,배진교,裵晋敎,정의당,비례대표,2100000000111,101180,240001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771277,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,A2V51235
13,이장섭,李將燮,더불어민주당,충북 청주시서원구,2100000000210,101182,110039,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771201,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,7I09543O
14,김용민,金容民,더불어민주당,경기 남양주시병,2100000000055,101182,080188,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771186,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,OFE45081
15,윤호중,尹昊重,더불어민주당,경기 구리시,2100000000180,101182,080051,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9770876,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,M0A1658U
16,정운천,鄭雲天,국민의힘,비례대표,2100000000242,101210,240001,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771012,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,NZF1659U
17,이채익,李埰益,국민의힘,울산 남구갑,2100000000216,101210,070003,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9770835,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,WDS6044S
18,김미애,金美愛,국민의힘,부산 해운대구을,2100000000030,101210,020056,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,찬성,9771136,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,3BC6890E
19,소병훈,蘇秉勳,더불어민주당,경기 광주시갑,2100000000127,101182,080180,20231220 152913,2114976,원자력 진흥법 일부개정법률안,PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,원자력 진흥법,과학기술정보방송통신위원회,불참,9770999,9700479,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2Y2W0P3N2C1M1L0H1F0R1D7Y4Z3B1,411,1,21,ZDR63255
