HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD
민형배,閔馨培,더불어민주당,광주 광산구을,2100000000086,101182,50014
민홍철,閔洪喆,더불어민주당,경남 김해시갑,2100000000087,101182,160016
박광온,朴洸瑥,더불어민주당,경기 수원시정,2100000000088,101182,80173
박대수,朴大壽,국민의힘,비례대표,2100000000089,101210,240001
박대출,朴大出,국민의힘,경남 진주시갑,2100000000090,101210,160007
박덕흠,朴德欽,국민의힘,충북 보은군옥천군영동군괴산군,2100000000091,101210,110037
박범계,朴範界,더불어민주당,대전 서구을,2100000000092,101182,60007
박병석,朴炳錫,더불어민주당,대전 서구갑,2100000000093,101182,60005
박상혁,朴商赫,더불어민주당,경기 김포시을,2100000000094,101182,80186
박성민,朴聖敏,국민의힘,울산 중구,2100000000095,101210,70001
박성준,朴省俊,더불어민주당,서울 중구성동구을,2100000000096,101182,10097
박성중,朴成重,국민의힘,서울 서초구을,2100000000097,101210,10066
박수영,朴洙瑩,국민의힘,부산 남구갑,2100000000098,101210,20011
박영순,朴英淳,더불어민주당,대전 대덕구,2100000000099,101182,60011
박완수,朴完洙,국민의힘,경남 창원시의창구,2100000000100,101210,160122
박완주,朴完柱,무소속,충남 천안시을,2100000000101,101030,120003
박용진,朴用鎭,더불어민주당,서울 강북구을,2100000000102,101182,10023
박재호,朴在昊,더불어민주당,부산 남구을,2100000000103,101182,20012
박정,朴釘,더불어민주당,경기 파주시을,2100000000104,101182,80170
박주민,朴柱民,더불어민주당,서울 은평구갑,2100000000105,101182,10032
박진,朴振,국민의힘,서울 강남구을,2100000000106,101210,10069
박찬대,朴贊大,더불어민주당,인천 연수구갑,2100000000107,101182,40028
박형수,朴亨修,국민의힘,경북 영주시영양군봉화군울진군,2100000000108,101210,210039
박홍근,朴洪根,더불어민주당,서울 중랑구을,2100000000109,101182,10017
배준영,裵俊英,국민의힘,인천 중구강화군옹진군,2100000000110,101210,210024
배진교,裵晋敎,정의당,비례대표,2100000000111,101180,240001
배현진,裵賢鎭,국민의힘,서울 송파구을,2100000000112,101210,10074
백종헌,白宗憲,국민의힘,부산 금정구,2100000000113,101210,20032
백혜련,白惠蓮,더불어민주당,경기 수원시을,2100000000114,101182,80154
변재일,卞在一,더불어민주당,충북 청주시청원구,2100000000115,101182,110038
서동용,徐東榕,더불어민주당,전남 순천시광양시곡성군구례군을,2100000000116,101182,210041
서범수,徐範洙,국민의힘,울산 울주군,2100000000117,101210,70009
서병수,徐秉洙,국민의힘,부산 부산진구갑,2100000000118,101210,20006
서삼석,徐參錫,더불어민주당,전남 영암군무안군신안군,2100000000119,101182,140110
서영교,徐瑛敎,더불어민주당,서울 중랑구갑,2100000000120,101182,10016
서영석,徐暎錫,더불어민주당,경기 부천시정,2100000000121,101182,210030
서일준,徐一俊,국민의힘,경남 거제시,2100000000122,101210,160019
서정숙,徐正淑,국민의힘,비례대표,2100000000123,101210,240001
설훈,薛勳,더불어민주당,경기 부천시을,2100000000124,101182,210029
성일종,成一鍾,국민의힘,충남 서산시태안군,2100000000125,101210,120010
소병철,蘇秉哲,더불어민주당,전남 순천시광양시곡성군구례군갑,2100000000126,101182,210040
소병훈,蘇秉勳,더불어민주당,경기 광주시갑,2100000000127,101182,80180
송갑석,宋甲錫,더불어민주당,광주 서구갑,2100000000128,101182,50003
송기헌,宋基憲,더불어민주당,강원 원주시을,2100000000129,101182,100019
송석준,宋錫俊,국민의힘,경기 이천시,2100000000130,101210,80171
송언석,宋彦錫,국민의힘,경북 김천시,2100000000131,101210,150006
송영길,宋永吉,더불어민주당,인천 계양구을,2100000000132,101182,40016
