,HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD,VOTE_DATE,BILL_NO,BILL_NAME,BILL_ID,LAW_TITLE,CURR_COMMITTEE,RESULT_VOTE_MOD,DEPT_CD,CURR_COMMITTEE_ID,DISP_ORDER,BILL_URL,BILL_NAME_URL,SESSION_CD,CURRENTS_CD,AGE,MONA_CD
0,김선교,金善敎,국민의힘,경기 여주시양평군,2100000000041,101210,080194,20210226 150413,2106126,공직선거법 일부개정법률안,PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,공직선거법,행정안전위원회,찬성,9771195,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,384,7,21,JNL7001A
1,이용빈,李龍彬,더불어민주당,광주 광산구갑,2100000000202,101182,050013,20210226 150413,2106126,공직선거법 일부개정법률안,PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,공직선거법,행정안전위원회,찬성,9771158,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,384,7,21,GKD32201
2,이용우,李龍雨,더불어민주당,경기 고양시정,2100000000204,101182,080190,20210226 150413,2106126,공직선거법 일부개정법률안,PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,공직선거법,행정안전위원회,찬성,9771184,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,384,7,21,G7512472
3,조명희,曺明姬,국민의힘,비례대표,2100000000254,101210,240001,20210226 150413,2106126,공직선거법 일부개정법률안,PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,공직선거법,행정안전위원회,기권,9771247,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,384,7,21,S741317G
4,이해식,李海植,더불어민주당,서울 강동구을,2100000000221,101182,010077,20210226 150413,2106126,공직선거법 일부개정법률안,PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,공직선거법,행정안전위원회,찬성,9771129,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,384,7,21,CCU1009B
5,유상범,劉相凡,국민의힘,강원 홍천군횡성군영월군평창군,2100000000163,101210,210035,20210226 150413,2106126,공직선거법 일부개정법률안,PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,공직선거법,행정안전위원회,불참,9771199,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,384,7,21,MU69217P
6,홍성국,洪性國,더불어민주당,세종특별자치시갑,2100000000293,101182,210025,20210226 150413,2106126,공직선거법 일부개정법률안,PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,공직선거법,행정안전위원회,찬성,9771167,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,384,7,21,2N793392
7,허은아,許垠娥,국민의힘,비례대표,2100000000288,101210,240001,20210226 150413,2106126,공직선거법 일부개정법률안,PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,공직선거법,행정안전위원회,기권,9771256,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,384,7,21,66W6739S
8,정동만,鄭東萬,국민의힘,부산 기장군,2100000000240,101210,020053,20210226 150413,2106126,공직선거법 일부개정법률안,PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,공직선거법,행정안전위원회,찬성,9771140,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,384,7,21,DAY6557K
9,하영제,河榮帝,무소속,경남 사천시남해군하동군,2100000000280,101030,160119,20210226 150413,2106126,공직선거법 일부개정법률안,PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,공직선거법,행정안전위원회,찬성,9771234,9700480,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_G2T0A1J2L0O4T1K3P3O7A3F8D8X4G0,384,7,21,FGI27280
