,HG_NM,HJ_NM,POLY_NM,ORIG_NM,MEMBER_NO,POLY_CD,ORIG_CD,VOTE_DATE,BILL_NO,BILL_NAME,BILL_ID,LAW_TITLE,CURR_COMMITTEE,RESULT_VOTE_MOD,DEPT_CD,CURR_COMMITTEE_ID,DISP_ORDER,BILL_URL,BILL_NAME_URL,SESSION_CD,CURRENTS_CD,AGE,MONA_CD
0,김선교,金善敎,국민의힘,경기 여주시양평군,2100000000041,101210,080194,20200924 152533,2101013,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,대중교통의 육성 및 이용촉진에 관한 법률,국토교통위원회,기권,9771195,9700407,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,382,9,21,JNL7001A
1,이용빈,李龍彬,더불어민주당,광주 광산구갑,2100000000202,101182,050013,20200924 152533,2101013,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,대중교통의 육성 및 이용촉진에 관한 법률,국토교통위원회,찬성,9771158,9700407,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,382,9,21,GKD32201
2,권인숙,權仁淑,더불어민주당,비례대표,2100000000020,101182,240001,20200924 152533,2101013,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,대중교통의 육성 및 이용촉진에 관한 법률,국토교통위원회,찬성,9771259,9700407,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,382,9,21,3TO11703
3,조명희,曺明姬,국민의힘,비례대표,2100000000254,101210,240001,20200924 152533,2101013,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,대중교통의 육성 및 이용촉진에 관한 법률,국토교통위원회,찬성,9771247,9700407,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,382,9,21,S741317G
4,홍성국,洪性國,더불어민주당,세종특별자치시갑,2100000000293,101182,210025,20200924 152533,2101013,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,대중교통의 육성 및 이용촉진에 관한 법률,국토교통위원회,찬성,9771167,9700407,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,382,9,21,2N793392
5,허은아,許垠娥,국민의힘,비례대표,2100000000288,101210,240001,20200924 152533,2101013,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,대중교통의 육성 및 이용촉진에 관한 법률,국토교통위원회,기권,9771256,9700407,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,382,9,21,66W6739S
6,송재호,宋在祜,더불어민주당,제주 제주시갑,2100000000134,101182,170011,20200924 152533,2101013,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,대중교통의 육성 및 이용촉진에 관한 법률,국토교통위원회,불참,9771238,9700407,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,382,9,21,LM13674V
7,정동만,鄭東萬,국민의힘,부산 기장군,2100000000240,101210,020053,20200924 152533,2101013,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,대중교통의 육성 및 이용촉진에 관한 법률,국토교통위원회,찬성,9771140,9700407,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,382,9,21,DAY6557K
8,최형두,崔炯斗,국민의힘,경남 창원시마산합포구,2100000000276,101210,160123,20200924 152533,2101013,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,대중교통의 육성 및 이용촉진에 관한 법률,국토교통위원회,찬성,9771231,9700407,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,382,9,21,A0P4646G
9,이장섭,李將燮,더불어민주당,충북 청주시서원구,2100000000210,101182,110039,20200924 152533,2101013,대중교통의 육성 및 이용촉진에 관한 법률 일부개정법률안,PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,대중교통의 육성 및 이용촉진에 관한 법률,국토교통위원회,찬성,9771201,9700407,0,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_L2P0N0W6H2V5R1U6A3G3Q3C0A3S9P7,382,9,21,7I09543O
